compared_pose_pairs 1994
absolute_translational_error.rmse 0.05250708776732814 m
absolute_translational_error.mean 0.04663835565786222 m
absolute_translational_error.median 0.04079938878289249 m
absolute_translational_error.std 0.02412173392060881 m
absolute_translational_error.min 0.0027098401883667144 m
absolute_translational_error.max 0.10741708249464413 m
max idx: 437

Map complexity
KFs in map: 130
MPs in map: 9369

Total Tracking Analysis:
Average Time: 44.39384
Std Dev: 6.23554

Effective FPS Analysis:
Frames processed: 2149
Dropped frames:   0
Nominal FPS:      20.00
Effective FPS:    20.00

FOV Mask Data from cellManager.txt:
Time: 1403715886.584058, FOV Mask: 22x22
Time: 1403715886.634058, FOV Mask: 22x22
Time: 1403715886.6840582, FOV Mask: 22x22
Time: 1403715886.734058, FOV Mask: 22x22
Time: 1403715886.784058, FOV Mask: 22x22
Time: 1403715886.834058, FOV Mask: 22x22
Time: 1403715886.884058, FOV Mask: 22x22
Time: 1403715886.934058, FOV Mask: 22x22
Time: 1403715886.9840581, FOV Mask: 22x22
Time: 1403715887.034058, FOV Mask: 22x22
Time: 1403715887.084058, FOV Mask: 22x22
Time: 1403715887.134058, FOV Mask: 22x22
Time: 1403715887.1840582, FOV Mask: 22x22
Time: 1403715887.234058, FOV Mask: 22x22
Time: 1403715887.284058, FOV Mask: 22x22
Time: 1403715887.334058, FOV Mask: 22x22
Time: 1403715887.384058, FOV Mask: 22x22
Time: 1403715887.434058, FOV Mask: 22x22
Time: 1403715887.4840581, FOV Mask: 22x22
Time: 1403715887.534058, FOV Mask: 22x22
Time: 1403715887.584058, FOV Mask: 22x22
Time: 1403715887.634058, FOV Mask: 22x22
Time: 1403715887.6840582, FOV Mask: 22x22
Time: 1403715887.734058, FOV Mask: 22x22
Time: 1403715887.784058, FOV Mask: 22x22
Time: 1403715887.834058, FOV Mask: 22x22
Time: 1403715887.884058, FOV Mask: 22x22
Time: 1403715887.934058, FOV Mask: 22x22
Time: 1403715887.9840581, FOV Mask: 22x22
Time: 1403715888.034058, FOV Mask: 22x22
Time: 1403715888.084058, FOV Mask: 22x22
Time: 1403715888.134058, FOV Mask: 22x22
Time: 1403715888.1840582, FOV Mask: 22x22
Time: 1403715888.234058, FOV Mask: 22x22
Time: 1403715888.284058, FOV Mask: 22x22
Time: 1403715888.334058, FOV Mask: 22x22
Time: 1403715888.384058, FOV Mask: 22x22
Time: 1403715888.434058, FOV Mask: 22x22
Time: 1403715888.4840581, FOV Mask: 22x22
Time: 1403715888.534058, FOV Mask: 22x22
Time: 1403715888.584058, FOV Mask: 22x22
Time: 1403715888.634058, FOV Mask: 22x22
Time: 1403715888.6840582, FOV Mask: 22x22
Time: 1403715888.734058, FOV Mask: 22x22
Time: 1403715888.784058, FOV Mask: 22x22
Time: 1403715888.834058, FOV Mask: 22x22
Time: 1403715888.884058, FOV Mask: 22x22
Time: 1403715888.934058, FOV Mask: 22x22
Time: 1403715888.9840581, FOV Mask: 22x22
Time: 1403715889.034058, FOV Mask: 22x22
